canton,year,building_type,product,n,price_median_chf_kwh,price_p10_chf_kwh,price_p90_chf_kwh,price_mean_chf_kwh,fixed_median_chf_year,fixed_p10_chf_year,fixed_p90_chf_year,grid_chf_kwh_mean,energy_supply_chf_kwh_mean,community_fees_chf_kwh_mean,kev_chf_kwh_mean,metering_var_chf_kwh_mean,price_ttc_median_chf_kwh,price_ttc_p10_chf_kwh,price_ttc_p90_chf_kwh
Basel Stadt,2024,maison_individuelle,Standard product,8.0,0.33018000000000003,0.295168,0.340015,0.322925,,,,0.1254725,0.10160999999999999,0.0728375,0.023,,0.35692458,0.319076608,0.36755621499999996
Basel Stadt,2025,appartement,Standard product,7.0,0.29331,0.25586200000000003,0.351398,0.30026,,,,0.1176042857142857,0.09552285714285715,0.06413571428571428,0.022999999999999996,,0.31706811,0.276586822,0.379861238
Basel Stadt,2025,maison_individuelle,Standard product,8.0,0.32898,0.293968,0.33881500000000003,0.32172500000000004,,,,0.12427250000000001,0.10160999999999999,0.0728375,0.023,,0.35562738,0.317779408,0.366259015
Basel Stadt,2026,appartement,Standard product,7.0,0.29128,0.24637,0.336754,0.29192,279.6,54.0,816.0,0.10760714285714287,0.09552285714285715,0.06389714285714285,0.022999999999999996,0.0018928571428571427,0.31487368,0.26632597,0.36403107399999995
Basel Stadt,2026,maison_individuelle,Standard product,8.0,0.31969000000000003,0.279825,0.345385,0.31632000000000005,54.0,54.0,54.0,0.106935,0.10160999999999999,0.07226874999999999,0.023,0.012507500000000001,0.34558489000000003,0.30249082499999996,0.373361185
Bern,2011,appartement,Standard product,7.0,0.17761,0.14024799999999998,0.22777,0.17985571428571426,,,,0.0758942857142857,0.09344428571428573,0.004057142857142857,0.0045,,0.19199640999999998,0.151608088,0.24621937000000002
Bern,2011,maison_individuelle,Standard product,8.0,0.21222249999999998,0.169324,0.268849,0.21608624999999998,,,,0.10684375,0.091296875,0.014175,0.0045000000000000005,,0.2294125225,0.183039244,0.290625769
Bern,2012,appartement,Standard product,7.0,0.16876999999999998,0.137504,0.21744,0.1728328571428571,,,,0.06949571428571429,0.09381857142857143,0.004057142857142857,0.0045,,0.18244036999999996,0.14864182399999998,0.23505264
Bern,2012,maison_individuelle,Standard product,8.0,0.20097500000000001,0.163195,0.250893,0.2045025,,,,0.094335,0.09121000000000001,0.014175,0.0045000000000000005,,0.217253975,0.17641379499999998,0.271215333
Bern,2013,appartement,Standard product,7.0,0.16262000000000001,0.134704,0.214806,0.1692942857142857,,,,0.06782928571428572,0.09235571428571429,0.0040742857142857134,0.0045,,0.17579222,0.14561502399999998,0.23220528599999998
Bern,2013,maison_individuelle,Standard product,8.0,0.199505,0.162878,0.24806699999999998,0.20296375,,,,0.09262124999999999,0.091828125,0.014175,0.0045000000000000005,,0.21566490499999996,0.176071118,0.268160427
Bern,2014,appartement,Standard product,7.0,0.17103000000000002,0.141908,0.22387200000000002,0.17763714285714288,,,,0.07524142857142857,0.09143428571428572,0.004092857142857142,0.005999999999999999,,0.18488343000000002,0.153402548,0.242005632
Bern,2014,maison_individuelle,Standard product,8.0,0.20968250000000002,0.178515,0.2585425,0.214304375,,,,0.10287125,0.09265875000000001,0.014175,0.006,,0.2266667825,0.192974715,0.2794844425
Bern,2015,appartement,Standard product,7.0,0.17703,0.14713199999999999,0.22759000000000001,0.18259857142857142,,,,0.07577428571428572,0.09136071428571428,0.004088571428571428,0.011,,0.19136942999999998,0.159049692,0.24602479000000002
Bern,2015,maison_individuelle,Standard product,8.0,0.21408750000000001,0.183803,0.2620525,0.21862874999999998,,,,0.10361625,0.09189625,0.014175,0.011000000000000001,,0.2314285875,0.19869104299999998,0.28327875249999995
Bern,2016,appartement,Standard product,7.0,0.18594999999999998,0.150112,0.228602,0.18721000000000002,,,,0.086175,0.08318214285714284,0.004085714285714285,0.013,,0.20101194999999997,0.16227107200000002,0.247118762
Bern,2016,maison_individuelle,Standard product,8.0,0.21431,0.1879125,0.262447,0.21980187499999998,,,,0.114459375,0.08473125,0.014175,0.013000000000000001,,0.23166910999999998,0.2031334125,0.283705207
Bern,2017,appartement,Standard product,7.0,0.18687,0.151594,0.227194,0.18604357142857145,,,,0.08559428571428572,0.0819857142857143,0.004114285714285714,0.015,,0.20200647,0.16387311400000001,0.245596714
Bern,2017,maison_individuelle,Standard product,8.0,0.21141749999999998,0.180782,0.25854,0.21545875,,,,0.11301312499999999,0.080765,0.013219999999999999,0.015,,0.22854231749999998,0.195425342,0.27948174
Bern,2018,appartement,Cheapest product,7.0,0.19121,0.15442799999999998,0.242988,0.19461,,,,0.08669142857142857,0.0837142857142857,0.004057142857142857,0.022999999999999996,,0.20669801,0.16693666799999998,0.262670028
Bern,2018,appartement,Standard product,7.0,0.19454000000000002,0.164414,0.231202,0.1946057142857143,,,,0.08198000000000001,0.08853214285714286,0.004085714285714285,0.022999999999999996,,0.21029774,0.177731534,0.24992936199999996
Bern,2018,maison_individuelle,Cheapest product,8.0,0.229675,0.19189,0.278339,0.23267625,,,,0.11770562500000001,0.089623125,0.0131325,0.023,,0.248278675,0.20743309,0.300884459
Bern,2018,maison_individuelle,Standard product,8.0,0.22075,0.19512100000000002,0.2639355,0.2251675,,,,0.11023,0.084539375,0.013219999999999999,0.023,,0.23863074999999997,0.210925801,0.2853142755
Bern,2019,appartement,Cheapest product,7.0,0.19107,0.153224,0.223386,0.18804714285714283,,,,0.08145142857142858,0.08208857142857141,0.004057142857142857,0.022999999999999996,,0.20654667,0.16563514399999998,0.24148026599999997
Bern,2019,appartement,Standard product,7.0,0.19626000000000002,0.163212,0.224498,0.19343285714285716,,,,0.07890285714285714,0.08947000000000001,0.004171428571428571,0.022999999999999996,,0.21215706,0.176432172,0.24268233799999997
Bern,2019,maison_individuelle,Cheapest product,8.0,0.23037999999999997,0.194834,0.28012899999999996,0.2340225,,,,0.11659875,0.08912125,0.0132075,0.023,,0.24904077999999996,0.21061555399999998,0.30281944899999996
Bern,2019,maison_individuelle,Standard product,8.0,0.225945,0.198653,0.272148,0.23114875000000001,,,,0.11055999999999999,0.085330625,0.013219999999999999,0.023,,0.24424654499999998,0.214743893,0.29419198799999996
Bern,2020,appartement,Cheapest product,7.0,0.19027000000000002,0.152424,0.230852,0.18967714285714285,,,,0.08065142857142857,0.08208857142857141,0.004057142857142857,0.022999999999999996,,0.20568187000000002,0.164770344,0.24955101200000002
Bern,2020,appartement,Standard product,7.0,0.19893999999999998,0.162412,0.228862,0.19466428571428573,,,,0.07907857142857143,0.09030857142857143,0.004128571428571428,0.022999999999999996,,0.21505413999999998,0.175567372,0.247399822
Bern,2020,maison_individuelle,Cheapest product,8.0,0.23687999999999998,0.194019,0.27983399999999997,0.23658249999999997,,,,0.11613625,0.08942249999999999,0.013125,0.023,,0.25606728,0.209734539,0.302500554
