canton,year,profile,building_type,product,total_ex_vat_chf_kwh,grid_chf_kwh,energy_supply_chf_kwh,community_fees_chf_kwh,kev_chf_kwh,metering_var_chf_kwh,metering_fixed_chf_year,total_incl_vat_chf_kwh,grid_chf_kwh_incl_vat,energy_supply_chf_kwh_incl_vat,community_fees_chf_kwh_incl_vat,kev_chf_kwh_incl_vat,metering_var_chf_kwh_incl_vat
Thurgau,2019,H1,maison_individuelle,Cheapest product,0.22920000000000001,0.14724,0.061340000000000006,0.0034999999999999996,0.023,,,0.24776520000000002,0.15916644,0.06630854,0.0037834999999999995,0.024863,
Ticino,2022,C4,appartement,Cheapest product,0.20501999999999998,0.08493,0.07519,0.0219,0.023,,,0.22162661999999997,0.09180933000000001,0.08128039000000001,0.023673899999999998,0.024863,
Fribourg,2020,C4,appartement,Cheapest product,0.18657,0.057640000000000004,0.10593,0.0,0.023,,,0.20168217,0.062308840000000004,0.11451033,0.0,0.024863,
Aargau,2019,C4,appartement,Cheapest product,0.18164000000000002,0.07099,0.08353,0.0041199999999999995,0.023,,,0.19635284000000003,0.07674019,0.09029592999999998,0.0044537199999999996,0.024863,
Jura,2024,H5,maison_individuelle,Cheapest product,0.2751,0.13570000000000002,0.1054,0.011000000000000001,0.023,,,0.2973831,0.1466917,0.1139374,0.011891,0.024863,
Grisons,2019,H2,maison_individuelle,Cheapest product,0.21420000000000003,0.10829000000000001,0.078,0.02,0.023,,,0.2315502,0.11706149,0.08431799999999999,0.02162,0.024863,
Appenzell Ausserrhoden,2018,H6,maison_individuelle,Cheapest product,0.12747,0.053970000000000004,0.050499999999999996,0.0,0.023,,,0.13779507,0.05834157,0.05459049999999999,0.0,0.024863,
Thurgau,2025,H1,maison_individuelle,Cheapest product,0.36244,0.17991,0.1482,0.0031,0.023,,,0.39179763999999995,0.19448270999999998,0.1602042,0.0033510999999999997,0.024863,
Obwalden,2021,H2,maison_individuelle,Cheapest product,0.23057,0.11878999999999999,0.07477,0.013999999999999999,0.023,,,0.24924617,0.12841198999999998,0.08082637,0.015133999999999998,0.024863,
Zurich,2023,H1,maison_individuelle,Cheapest product,0.22632000000000002,0.10976000000000001,0.07206,0.0215,0.023,,,0.24465192000000002,0.11865056,0.07789686,0.0232415,0.024863,
Zurich,2023,H2,maison_individuelle,Cheapest product,0.22245,0.10747999999999999,0.07046999999999999,0.0215,0.023,,,0.24046845,0.11618587999999999,0.07617806999999999,0.0232415,0.024863,
Zug,2019,H5,maison_individuelle,Cheapest product,0.14812,0.06684,0.058280000000000005,0.0,0.023,,,0.16011772,0.07225403999999999,0.06300068,0.0,0.024863,
Zurich,2021,H2,maison_individuelle,Cheapest product,0.21176999999999999,0.11167999999999999,0.06881999999999999,0.0032,0.023,,,0.22892337,0.12072607999999999,0.07439441999999999,0.0034592,0.024863,
Zurich,2023,C4,appartement,Cheapest product,0.22282,0.1058,0.07252,0.0215,0.023,,,0.24086841999999997,0.11436980000000001,0.07839412,0.0232415,0.024863,
Basel Landschaft,2022,C4,appartement,Cheapest product,0.16667,0.0721,0.06756999999999999,0.004,0.023,,,0.18017027,0.0779401,0.07304316999999999,0.004324,0.024863,
Zurich,2026,H2,maison_individuelle,Cheapest product,0.2618,0.10821,0.07747,0.02,0.023,0.03312,82.8,0.2830058,0.11697500999999999,0.08374506999999999,0.02162,0.024863,0.035802719999999996
Schwyz,2020,H1,maison_individuelle,Cheapest product,0.25148,0.13955,0.07543,0.0124,0.023,,,0.27184988,0.15085355,0.08153983,0.013404399999999999,0.024863,
Schaffhausen,2023,C4,appartement,Cheapest product,0.2069,0.0929,0.091,0.0,0.023,,,0.2236589,0.1004249,0.098371,0.0,0.024863,
Thurgau,2024,H1,maison_individuelle,Cheapest product,0.3655,0.1913,0.142,0.0025,0.023,,,0.3951055,0.2067953,0.15350199999999997,0.0027025,0.024863,
Ticino,2019,H6,maison_individuelle,Cheapest product,0.15403,0.05486,0.05447,0.0217,0.023,,,0.16650642999999998,0.059303659999999994,0.058882069999999995,0.0234577,0.024863,
Jura,2026,H5,maison_individuelle,Cheapest product,0.24992999999999999,0.10400000000000001,0.09539999999999998,0.017,0.023,0.01053,79.0,0.27017432999999996,0.11242400000000001,0.10312739999999998,0.018377,0.024863,0.01138293
Bern,2026,H5,maison_individuelle,Cheapest product,0.24792999999999998,0.10400000000000001,0.09539999999999998,0.013919999999999998,0.023,0.01053,79.0,0.26801232999999997,0.11242400000000001,0.10312739999999998,0.015047519999999998,0.024863,0.01138293
Basel Landschaft,2018,H1,maison_individuelle,Cheapest product,0.24905000000000002,0.13354,0.08352,0.009000000000000001,0.023,,,0.26922305,0.14435673999999998,0.09028512,0.009729000000000002,0.024863,
Thurgau,2021,H1,maison_individuelle,Cheapest product,0.23399999999999999,0.14081,0.06831000000000001,0.0026,0.023,,,0.25295399999999996,0.15221560999999997,0.07384311,0.0028106,0.024863,
Zurich,2018,H1,maison_individuelle,Cheapest product,0.22693000000000002,0.13957,0.05907,0.0032,0.023,,,0.24531133000000002,0.15087517,0.06385466999999999,0.0034592,0.024863,
Zug,2024,H1,maison_individuelle,Cheapest product,0.42052,0.15537,0.24215,0.0,0.023,,,0.45458212,0.16795497,0.26176415,0.0,0.024863,
Zug,2024,C4,appartement,Cheapest product,0.31822,0.09361000000000001,0.20161,0.0,0.023,,,0.34399582,0.10119241000000001,0.21794041,0.0,0.024863,
Geneva,2018,C4,appartement,Cheapest product,0.15691,0.06614,0.06777,0.0,0.023,,,0.16961970999999998,0.07149734,0.07325936999999999,0.0,0.024863,
Valais,2023,C4,appartement,Cheapest product,0.271,0.06956000000000001,0.17013999999999999,0.0083,0.023,,,0.292951,0.07519436000000002,0.18392134,0.008972299999999999,0.024863,
Thurgau,2019,H5,maison_individuelle,Cheapest product,0.16518999999999998,0.08445,0.057359999999999994,0.0034999999999999996,0.023,,,0.17857038999999997,0.09129045,0.06200615999999999,0.0037834999999999995,0.024863,
Obwalden,2021,H5,maison_individuelle,Cheapest product,0.18886,0.0882,0.06366,0.013999999999999999,0.023,,,0.20415766,0.0953442,0.06881646,0.015133999999999998,0.024863,
Basel Landschaft,2022,H1,maison_individuelle,Cheapest product,0.25609000000000004,0.14315,0.08304,0.0069,0.023,,,0.27683329,0.15474515,0.08976624,0.007458899999999999,0.024863,
