postcode;e;n;canton;locality
1294;2500761.0;1124525.0;GE;Genthod
1295;2502609.0;1129145.0;VD;Mies
1296;2503803.986;1130785.523;VD;Coppet
1297;2504118.15;1132102.673;VD;Founex
1298;2504574.0;1133915.0;GE;Céligny
1299;2505526.0;1135150.0;VD;Crans VD
1302;2530946.0;1158956.0;VD;Vufflens-la-Ville
1303;2531039.0;1161093.0;VD;Penthaz
1304;2528095.25;1162717.0;VD;Allens
1305;2530061.0;1162551.0;VD;Penthalaz
1306;2531870.445;1163687.042;VD;Daillens
1307;2530161.0;1164998.0;VD;Lussery-Villars
1308;2526052.0;1163256.0;VD;La Chaux (Cossonay)
1312;2530651.0;1167123.0;VD;Eclépens
1313;2527000.0;1167926.0;VD;Ferreyres
1315;2528910.0;1167876.0;VD;La Sarraz
1316;2526312.482;1166142.814;VD;Chevilly
1317;2530180.0;1168923.0;VD;Orny
1318;2528975.0;1168854.0;VD;Pompaples
1321;2529645.0;1171762.0;VD;Arnex-sur-Orbe
1322;2526442.0;1171898.0;VD;Croy
1323;2525487.0;1171909.0;VD;Romainmôtier
1324;2523999.0;1173131.0;VD;Premier
1325;2519532.371;1171231.877;VD;Vaulion
1326;2524237.0;1171485.0;VD;Juriens
1329;2526162.0;1174000.0;VD;Bretonnières
1337;2519160.0;1174130.0;VD;Vallorbe
1338;2521669.0;1175980.0;VD;Ballaigues
1341;2508120.0;1161869.0;VD;L'Orient
1342;2515671.202;1169298.05;VD;Le Pont
1343;2514022.0;1169074.0;VD;Les Charbonnières
1344;2514339.0;1167097.0;VD;L'Abbaye
1345;2511924.0;1167475.5;VD;Le Lieu
1346;2510453.0;1163857.0;VD;Les Bioux
1347;2507500.5;1163062.5;VD;Le Sentier
1348;2505785.0;1160064.0;VD;Le Brassus
1350;2530761.0;1175226.0;VD;Orbe
1352;2528862.0;1174685.0;VD;Agiez
1353;2528123.0;1173003.0;VD;Bofflens
1354;2528962.0;1176246.0;VD;Montcherand
1355;2527846.0;1178361.0;VD;L'Abergement
1356;2526011.0;1176327.0;VD;La Russille
1357;2524973.692;1177240.772;VD;Lignerolle
1358;2530104.0;1178361.0;VD;Valeyres-sous-Rances
1372;2533208.323;1170512.895;VD;Bavois
1373;2533641.0;1173128.0;VD;Chavornay
1374;2535832.0;1172810.0;VD;Corcelles-sur-Chavornay
1375;2536124.0;1170491.0;VD;Penthéréaz
1376;2535413.0;1167862.333;VD;Eclagnens
1377;2534083.0;1166168.0;VD;Oulens-sous-Echallens
1400;2540191.427;1181229.545;VD;Yverdon-les-Bains
1404;2543043.0;1180824.0;VD;Cuarny
1405;2541139.0;1179132.0;VD;Pomy
1406;2543343.0;1178647.0;VD;Cronay
1407;2544608.75;1176800.75;VD;Bioley-Magnoux
1408;2546599.0;1176196.0;VD;Prahins
1409;2546815.0;1175571.0;VD;Chanéaz
1410;2548216.4;1173596.0;VD;Correvon
1412;2540624.5;1176862.5;VD;Ursins
1413;2542214.0;1174982.0;VD;Orzens
1415;2547615.0;1178294.0;VD;Démoret
1416;2541511.0;1172397.0;VD;Pailly
1417;2539072.0;1175426.0;VD;Epautheyres
1418;2539483.0;1171022.0;VD;Vuarrens
1420;2537869.0;1186670.0;VD;Fiez
1421;2536994.0;1187696.0;VD;Fontaines-sur-Grandson
1422;2538929.0;1184210.0;VD;Grandson
1423;2539145.141;1189097.141;VD;Romairon
1424;2540405.0;1187062.0;VD;Champagne
1425;2542784.0;1187793.0;VD;Onnens VD
1426;2544792.0;1188959.0;VD;Concise
1427;2541435.0;1187768.0;VD;Bonvillars
1428;2545493.5;1193175.0;VD;Mutrux
1429;2537279.0;1184904.0;VD;Giez
1430;2535058.0;1184508.0;VD;Orges
1431;2534878.5;1186409.0;VD;Novalles
1432;2538312.5;1177742.5;VD;Belmont-sur-Yverdon
1433;2535818.0;1175028.0;VD;Suchy
1434;2536534.0;1177262.0;VD;Ependes VD
1435;2534566.0;1175509.0;VD;Essert-Pittet
1436;2536630.0;1180984.0;VD;Chamblon
1437;2534408.0;1179645.0;VD;Suscévaz
1438;2533201.0;1179858.0;VD;Mathod
1439;2530660.0;1179423.0;VD;Rances
1441;2536824.0;1183360.0;VD;Valeyres-sous-Montagny
1442;2537003.0;1182612.0;VD;Montagny-près-Yverdon
1443;2534516.051;1182104.156;VD;Essert-sous-Champvent
1445;2532399.641;1184311.283;VD;Vuiteboeuf
1446;2530016.0;1182501.0;VD;Baulmes
1450;2529193.333;1185721.0;VD;La Sagne (Ste-Croix)
1452;2531315.065;1186847.573;VD;Les Rasses
1453;2534851.291;1188615.642;VD;Bullet
1454;2526331.446;1186993.1;VD;La Vraconnaz
1462;2546937.0;1183328.0;VD;Yvonand
1463;2548769.0;1182014.0;VD;Rovray
1464;2549204.0;1180486.0;VD;Chavannes-le-Chêne
1468;2550382.0;1185431.0;FR;Cheyres
1470;2554161.265;1186527.015;FR;Bollion
1473;2553304.5;1187197.5;FR;Châtillon FR
1474;2551811.0;1185910.0;FR;Châbles FR
1475;2557761.333;1190486.0;FR;Autavaux
1482;2558146.0;1184902.0;FR;Cugy FR
1483;2556461.333;1185271.0;FR;Frasses
1484;2554796.0;1183948.5;FR;Aumont
1485;2553858.208;1181502.189;FR;Nuvilly
