Canton,Consumption profiles of typical households,Period,Product,Total excl. VAT (Rp./kWH),Grid usage (Rp./kWH),Energy supply costs (Rp./kWH),Community fees (Rp./kWH),Feed-in remuneration at cost (KEV) (Rp./kWH),Metering rate (Rp./kWH),Tariff for metering in CHF per year
Thurgau,H6,2020,Cheapest product,15.263,6.751,5.902,0.31,2.3,-,-
Zug,H4,2022,Cheapest product,19.071,9.36,7.412,0,2.3,-,-
Bern,C3,2024,Cheapest product,25.638,12.176,10.962,0.2,2.3,-,-
Bern,C3,2023,Cheapest product,21.542,9.879,9.162,0.2,2.3,-,-
Ticino,H5,2025,Cheapest product,24.664,10.234,9.9,2.23,2.3,-,-
Zurich,H4,2021,Cheapest product,19.437,9.506,6.89,0.32,2.3,-,-
Basel Landschaft,C3,2023,Cheapest product,21.755,9.638,9.477,0.34,2.3,-,-
Appenzell Ausserrhoden,H4,2022,Cheapest product,19.703,9.683,7.72,0,2.3,-,-
Zug,C3,2023,Cheapest product,22.961,8.57,12.091,0,2.3,-,-
Solothurn,H5,2024,Cheapest product,30.423,12.624,14.9995,1.1,2.3,-,-
Obwalden,C2,2026,Cheapest product,24.818,11.503,9.379,1.4,2.3,0.236,70.8
Appenzell Ausserrhoden,H4,2020,Cheapest product,18.003,8.473,7.23,0,2.3,-,-
Solothurn,H4,2021,Cheapest product,21.98,9.593,8.265,1.016,2.3,-,-
St Gallen,C3,2021,Cheapest product,17.139,6.919,7.059,0.6,2.3,-,-
St Gallen,C2,2024,Cheapest product,31.425,11.098,16.35,0.6,2.3,-,-
Thurgau,H4,2019,Cheapest product,18.07,9.866,6.118,0.35,2.3,-,-
Basel Landschaft,H5,2024,Cheapest product,28.589,14.266,11.683,0.34,2.3,-,-
Jura,H5,2023,Cheapest product,23.14,10.6,8.74,1.5,2.3,-,-
Jura,C3,2026,Cheapest product,24.853,10.8,9.962,1.7,2.3,0.091,136
Jura,C3,2022,Cheapest product,21.242,9.579,9.162,0.2,2.3,-,-
Vaud,H4,2020,Cheapest product,21.18,9.646,8.334,0.9,2.3,-,-
Zug,H5,2025,Cheapest product,27.315,11.665,13.35,0,2.3,-,-
Solothurn,H4,2023,Cheapest product,25.127,11.613,11.997,1.1,2.3,-,-
Appenzell Innerrhoden,C3,2023,Cheapest product,22.157,7.568,12.289,0,2.3,-,-
Zurich,C2,2020,Cheapest product,18.714,8.529,7.735,0.32,2.3,-,-
Zug,H5,2021,Cheapest product,16.372,7.264,6.808,0,2.3,-,-
Vaud,C2,2018,Cheapest product,20.46,8.66,8.6,0.9,2.3,-,-
