Canton,Consumption profiles of typical households,Period,Product,Total excl. VAT (Rp./kWH),Grid usage (Rp./kWH),Energy supply costs (Rp./kWH),Community fees (Rp./kWH),Feed-in remuneration at cost (KEV) (Rp./kWH),Metering rate (Rp./kWH),Tariff for metering in CHF per year
Valais,H4,2017,Standard product,14.75,7.267,5.706,0.84,1.5,-,-
Zug,H4,2015,Standard product,18.881,9.302,8.154,0.325,1.1,-,-
Obwalden,H4,2017,Standard product,20.995,11.095,7,1.4,1.5,-,-
Ticino,H4,2017,Standard product,18.787,8.029,7.2,2,1.5,-,-
Solothurn,H4,2018,Standard product,21.739,9.687,7.303,1,2.3,-,-
Appenzell Ausserrhoden,H4,2013,Standard product,17.359,8.389,8.52,0,0.45,-,-
Schaffhausen,H4,2024,Standard product,30.137,15.477,12.36,0,2.3,-,-
Schaffhausen,H4,2018,Standard product,20.527,11.902,6.325,0,2.3,-,-
Valais,H4,2026,Standard product,26.867,9.23,13.357,0.972,2.3,1.76,79.2
Solothurn,H4,2012,Standard product,21.927,10.585,9.826,1,0.45,-,-
Ticino,H4,2014,Standard product,18.718,8.273,8.55,1.97,0.6,-,-
Ticino,H4,2021,Standard product,21.143,8.793,7.8,2.25,2.3,-,-
Ticino,H4,2012,Standard product,20.708,8.716,9.4,2,0.45,-,-
Ticino,H4,2013,Standard product,20.482,7.843,9.6,2,0.45,-,-
Obwalden,H4,2018,Standard product,22.325,11.015,7.611,1.4,2.3,-,-
Schaffhausen,C3,2011,Standard product,15.6,6.6555,8.588,0,0.45,-,-
Geneva,C3,2023,Standard product,23.837,8.725,11.661,1.151,2.3,-,-
Schaffhausen,C3,2024,Standard product,27.38,13.37,11.71,0,2.3,-,-
Schaffhausen,C3,2025,Standard product,29.593,14.493,12.8,0,2.3,-,-
Nidwalden,C3,2018,Standard product,16.47,6.27,6.9,1,2.3,-,-
Zug,C3,2025,Standard product,26.076,11.026,12.75,0,2.3,-,-
Neuchâtel,C3,2018,Standard product,19.195,7.817,7.378,1.7,2.3,-,-
Neuchâtel,C3,2015,Standard product,19.39,8.054,8.684,1.56,1.1,-,-
Vaud,C3,2025,Standard product,26.3215,8.791,11.626,1.62,2.3,-,-
Grisons,C3,2011,Standard product,20.4,9.676,9.7,0.8,0.45,-,-
Vaud,C3,2023,Standard product,29.303,8.082,17.4,1.57,2.3,-,-
Neuchâtel,C3,2022,Standard product,20.288,6.6125,8.463,1.6,2.3,-,-
Neuchâtel,C3,2025,Standard product,30.012,10.891,15.221,1.6,2.3,-,-
Geneva,C3,2024,Standard product,28.21,11.235,13.351,1.324,2.3,-,-
Uri,C3,2022,Standard product,17.843,8.753,6.089,0.7,2.3,-,-
Valais,H8,2011,Standard product,18.653,7.38,10.1,0.723,0.45,-,-
Obwalden,H8,2026,Standard product,25.901,11.533,9.724,1.4,2.3,0.944,70.8
Zurich,H8,2015,Standard product,16.079,8.068,7.11,0.24,1.1,-,-
Appenzell Innerrhoden,H8,2017,Standard product,15.08,7.86,5.72,0,1.5,-,-
Grisons,H8,2016,Standard product,20.382,10.147,8.282,1,1.3,-,-
St Gallen,H8,2012,Standard product,17.949,9.079,7.9,0.55,0.45,-,-
Zurich,H8,2026,Standard product,24.024,9.025,11.793,0.16,2.3,0.8,60
St Gallen,H8,2017,Standard product,16.75,9.06,5.67,0.6,1.5,-,-
Neuchâtel,C3,2013,Standard product,18.18,7.008,8.821,1.9,0.45,-,-
Nidwalden,C3,2021,Standard product,15.251,6.151,5.8,1,2.3,-,-
Geneva,C3,2026,Standard product,22.89,9.225,10.087,1.158,2.3,0.12,180
Schaffhausen,C3,2017,Standard product,15.598,9.608,4.7525,0,1.5,-,-
Obwalden,H8,2016,Standard product,20.536,10.238,7.598,1.4,1.3,-,-
Zurich,H8,2020,Standard product,16.9765,7.319,7.358,0.32,2.3,-,-
Grisons,C3,2018,Standard product,19.968,8.961,7.997,1,2.3,-,-
Neuchâtel,C3,2021,Standard product,18.95,7.791,7.36,1.5,2.3,-,-
Grisons,C3,2026,Standard product,25.266,11.69,9.6,1,2.3,0.056,84
Zurich,C3,2020,Standard product,16.116,6.963,7.233,0.16,2.3,-,-
Vaud,C3,2016,Standard product,17.729,7.455,7.875,0.95,1.3,-,-
Uri,C3,2023,Standard product,25.904,9.067,13.837,0.7,2.3,-,-
Zurich,C3,2013,Standard product,15.105,6.1145,8.361,0.035,0.45,-,-
Zug,C3,2026,Standard product,19.798,10.561,6.3,0.59,2.3,0.047,70.8
Nidwalden,C3,2016,Standard product,15.78,6.58,6.9,1,1.3,-,-
Nidwalden,C3,2014,Standard product,15.635,6.302,7.734,1,0.6,-,-
Schaffhausen,C3,2018,Standard product,17.007,9.128,5.579,0,2.3,-,-
Neuchâtel,C3,2023,Standard product,28.127,10.341,13.358,1.6,2.3,-,-
Uri,C3,2021,Standard product,16.843,8.753,5.089,0.7,2.3,-,-
Schaffhausen,C3,2013,Standard product,16.842,7.058,9.334,0,0.45,-,-
Grisons,C3,2023,Standard product,23.767,10.42,10,1,2.3,-,-
Nidwalden,C3,2025,Standard product,19.051,10.251,5.5,1,2.3,-,-
Vaud,C3,2015,Standard product,19.632,7.414,10.017,0.9,1.1,-,-
Vaud,C3,2013,Standard product,19.617,7.653,10.557,0.9,0.45,-,-
Grisons,C3,2024,Standard product,25.958,12.11,12.617,1,2.3,-,-
Nidwalden,C3,2015,Standard product,15.35,6.35,6.9,1,1.1,-,-
Vaud,C3,2024,Standard product,30.95,10.679,16.051,1.62,2.3,-,-
Neuchâtel,C3,2016,Standard product,19.59,8.147,8.243,1.56,1.3,-,-
Aargau,C3,2015,Standard product,16.531,8.021,6.795,0.47,1.1,-,-
Aargau,C3,2021,Standard product,17.717,7.857,6.9,0.5,2.3,-,-
Nidwalden,C3,2017,Standard product,15.75,6.35,6.9,1,1.5,-,-
Schaffhausen,C3,2015,Standard product,16.749,8.428,7.221,0,1.1,-,-
Uri,C3,2024,Standard product,27.394,10.557,13.837,0.7,2.3,-,-
Uri,C3,2013,Standard product,19.323,9.122,8.812,0.94,0.45,-,-
Grisons,C3,2025,Standard product,23.84,10.94,9,1,2.3,-,-
Aargau,C3,2023,Standard product,23.588,8.815,12.837,0.508,2.3,-,-
Glarus,H8,2017,Standard product,17.229,10.0065,5.668,0.3,1.5,-,-
Glarus,H8,2024,Standard product,31.893,15.409,13.7,0.3,2.3,-,-
Ticino,H8,2025,Standard product,26.236,10.759,12.064,2.23,2.3,-,-
Solothurn,H8,2013,Standard product,19.435,8.449,9.681,1,0.45,-,-
Glarus,H8,2023,Standard product,27.347,12.257,11.79,0.3,2.3,-,-
Schwyz,H8,2019,Standard product,18.63,8.983,6.5205,0.7,2.3,-,-
Solothurn,H8,2011,Standard product,21.077,9.941,9.481,1,0.45,-,-
Ticino,H8,2021,Standard product,19.659,7.695,7.414,2.25,2.3,-,-
Grisons,H8,2015,Standard product,20.537,9.967,8.636,1,1.1,-,-
Grisons,H8,2017,Standard product,20.158,9.902,7.807,1,1.5,-,-
Fribourg,H8,2013,Standard product,18.89,9.451,8.988,0,0.45,-,-
Zurich,H8,2013,Standard product,15.977,6.825,8.4105,0.16,0.45,-,-
Glarus,H8,2015,Standard product,19.32,10.676,5.984,0.3,1.1,-,-
Zurich,H8,2016,Standard product,15.821,7.933,6.526,0.24,1.3,-,-
Obwalden,H8,2020,Standard product,20.235,9.086,7.449,1.4,2.3,-,-
Grisons,H8,2012,Standard product,19.581,9.002,10.073,0.8,0.45,-,-
Ticino,H8,2020,Standard product,19.417,7.314,7.593,2.21,2.3,-,-
Nidwalden,H8,2012,Standard product,16.919,8.851,6.698,0.92,0.45,-,-
Bern,H8,2017,Standard product,21.808,11.2525,8.59,1.5,1.5,-,-
Grisons,H8,2014,Standard product,19.512,10.108,9.124,1,0.6,-,-
Fribourg,H8,2014,Standard product,19.653,10.065,8.988,0,0.6,-,-
Grisons,H8,2021,Standard product,19.757,9.407,7.4,1.14,2.3,-,-
Nidwalden,H8,2015,Standard product,17.628,8.296,7.232,1,1.1,-,-
Grisons,H8,2020,Standard product,20.337,9.231,7.4,1.14,2.3,-,-
Glarus,H8,2020,Standard product,20.182,10.476,7.3,0.3,2.3,-,-
Schwyz,H8,2022,Standard product,19.674,8.843,7.781,0.81,2.3,-,-
Fribourg,H8,2011,Standard product,20.339,10.669,9.22,0,0.45,-,-
Valais,H8,2012,Standard product,17.794,6.703,10.112,0.66,0.45,-,-
Valais,H8,2020,Standard product,17.03,6.922,7.88,0.73,2.3,-,-
Geneva,H8,2024,Standard product,28.611,12.017,12.866,1.428,2.3,-,-
Valais,H8,2017,Standard product,13.793,6.52,5.445,0.763,1.5,-,-
St Gallen,H8,2014,Standard product,18.1,9.47,7.195,0.6,0.6,-,-
Valais,H8,2019,Standard product,17.29,7.34,7.18,0.77,2.3,-,-
Jura,H8,2019,Standard product,24.96,11.42,9.74,1.5,2.3,-,-
Solothurn,H8,2012,Standard product,20.285,9.05,9.785,1,0.45,-,-
Fribourg,H8,2016,Standard product,19.821,9.532,8.988,0,1.3,-,-
Fribourg,H8,2025,Standard product,27.837,10.653,14.884,0,2.3,-,-
St Gallen,H8,2020,Standard product,18.92,8.208,7.503333333333333,0.6,2.3,-,-
Solothurn,H8,2019,Standard product,20.813,8.66,7.844,1,2.3,-,-
Zurich,H8,2018,Standard product,15.879,7.928,5.417,0.32,2.3,-,-
St Gallen,H8,2024,Standard product,31.562,11.702,16.72,0.6,2.3,-,-
Grisons,H8,2023,Standard product,25.96,10.0935,10.8,1,2.3,-,-
Appenzell Innerrhoden,H8,2012,Standard product,17.01,9.04,7.52,0,0.45,-,-
Valais,H8,2016,Standard product,15.659,6.82,6.9,0.799,1.3,-,-
Ticino,H8,2017,Standard product,17.88,7.53,6.9,2,1.5,-,-
Fribourg,H8,2023,Standard product,24.287,8.903,13.084,0,2.3,-,-
Jura,H8,2020,Standard product,24.88,11.34,9.74,1.5,2.3,-,-
Ticino,H8,2014,Standard product,19.08,7.58,8.4,1.97,0.6,-,-
Glarus,H8,2016,Standard product,17.57,10.586,5.684,0.3,1.3,-,-
Obwalden,H8,2015,Standard product,21.638,10.464,8.674,1.4,1.1,-,-
Solothurn,H8,2015,Standard product,19.2015,9.2465,8.569,1,1.1,-,-
Valais,H8,2022,Standard product,18.73,7.437,8.38,0.83,2.3,-,-
Nidwalden,H8,2014,Standard product,17.437,8.494,7.342,1,0.6,-,-
Obwalden,H8,2023,Standard product,28.63,9.881,15.049,1.4,2.3,-,-
St Gallen,H8,2013,Standard product,18.3445,9.07,8.465,0.63,0.45,-,-
Obwalden,H8,2019,Standard product,20.256,9.166,7.39,1.4,2.3,-,-
Zurich,H8,2025,Standard product,26.652,10.057,15.412,0.16,2.3,-,-
Fribourg,H8,2017,Standard product,19.422,8.932,8.99,0,1.5,-,-
Obwalden,C3,2024,Standard product,27.313,10.51,13.103,1.4,2.3,-,-
Ticino,C3,2011,Standard product,21.123,10.153,8.86,1.66,0.45,-,-
Solothurn,C3,2025,Standard product,28.931,11.006,15.306,0.784,2.3,-,-
Ticino,C3,2014,Standard product,19.441,9.412,7.581,1.97,0.6,-,-
Ticino,C3,2012,Standard product,19.157,8.187,8.86,1.66,0.45,-,-
Ticino,C3,2020,Standard product,21.222,9.512,7.2,2.21,2.3,-,-
Solothurn,C3,2018,Standard product,19.209,8.34,7.897,0.68,2.3,-,-
Solothurn,C3,2014,Standard product,18.498,8.55,8.795,0.545,0.6,-,-
Obwalden,C3,2013,Standard product,17.411,6.563,9.198,1.2,0.45,-,-
Obwalden,C3,2011,Standard product,18.46,9.561,8.449,0,0.45,-,-
Ticino,C3,2024,Standard product,32.566,13.686,13.811,2.13,2.3,-,-
Solothurn,C3,2019,Standard product,19.82,8.597,7.897,0.648,2.3,-,-
Obwalden,C3,2023,Standard product,27.313,8.49,15.123,1.4,2.3,-,-
Obwalden,C3,2026,Standard product,23.5,10.222,9.483,1.4,2.3,0.094,141.6
Zurich,C3,2021,Standard product,16.098,7.418,6.605,0.16,2.3,-,-
Thurgau,C3,2026,Standard product,26.576,10.53,12.9,0.25,2.3,0.096,144
Thurgau,C3,2015,Standard product,17.03,9.129,6.756,0.245,1.1,-,-
Solothurn,C3,2021,Standard product,19.84,8.517,7.956,0.75,2.3,-,-
Obwalden,C3,2014,Standard product,17.967,7.368,8.598,1.4,0.6,-,-
Obwalden,C3,2021,Standard product,18.366,7.79,6.876,1.4,2.3,-,-
Solothurn,C3,2011,Standard product,19.756,9.011,10.095,0.67,0.45,-,-
Obwalden,C3,2018,Standard product,18.102,7.926,6.476,1.4,2.3,-,-
Ticino,C3,2019,Standard product,20.895,9.155,6.95,2.17,2.3,-,-
Solothurn,C3,2015,Standard product,18.408,8.31,8.595,0.695,1.1,-,-
Ticino,C3,2025,Standard product,28.507,13.377,10.997,2.23,2.3,-,-
Obwalden,C3,2020,Standard product,18.366,7.79,6.876,1.4,2.3,-,-
Geneva,C3,2011,Standard product,19.491,7.023,10.923,1.095,0.45,-,-
Geneva,C3,2022,Standard product,19.478,7.566,8.612,1,2.3,-,-
Valais,C3,2015,Standard product,15.039,6.47,7.249,0.717,1.1,-,-
Aargau,C3,2026,Standard product,24.564,10.686,10.95,0.628,2.3,0.096,144
Schaffhausen,C3,2016,Standard product,16.48,9.394,5.893,0,1.3,-,-
Geneva,C3,2013,Standard product,17.84,6.846,9.475,1.069,0.45,-,-
Schaffhausen,C3,2022,Standard product,17.386,8.488,6.598,0,2.3,-,-
Solothurn,C3,2022,Standard product,20.437,8.649,8.195,0.65,2.3,-,-
Solothurn,C3,2016,Standard product,17.828,8.47,6.768,0.66,1.3,-,-
Zug,C3,2011,Standard product,17.8065,7.7415,9.335,0.28,0.45,-,-
Thurgau,C3,2021,Standard product,17.981,8.575,6.873,0.31,2.3,-,-
Aargau,C3,2016,Standard product,16.297,8.127,6.115,0.483,1.3,-,-
Zurich,C3,2018,Standard product,14.385,6.664,5.024,0.16,2.3,-,-
Schaffhausen,C3,2014,Standard product,16,8.087,7.314,0,0.6,-,-
Vaud,C3,2021,Standard product,18.8565,7.005,7.651,1.42,2.3,-,-
Neuchâtel,C3,2024,Standard product,33.3195,11.4285,17.9905,1.6,2.3,-,-
Geneva,C3,2012,Standard product,18.32,6.846,9.955,1.069,0.45,-,-
Neuchâtel,C3,2019,Standard product,19.286,7.791,7.695,1.5,2.3,-,-
Obwalden,C3,2019,Standard product,18.246,7.87,6.676,1.4,2.3,-,-
Zurich,C3,2014,Standard product,15.017,7.097,7.314,0.031,0.6,-,-
Zurich,C3,2015,Standard product,15.238,7.046,6.707,0.16,1.1,-,-
Obwalden,C3,2022,Standard product,18.327,7.79,6.837,1.4,2.3,-,-
Obwalden,C3,2016,Standard product,17.496,8.12,6.676,1.4,1.3,-,-
Solothurn,C3,2013,Standard product,18.523,7.878,9.995,0.5,0.45,-,-
Ticino,C3,2026,Standard product,25.747,11.617,10.997,2.22,2.3,0.078,117.6
Valais,C3,2023,Standard product,28.075,7.646,17.4,0.88,2.3,-,-
Obwalden,C3,2025,Standard product,24.234,10.638,9.896,1.4,2.3,-,-
Valais,C3,2016,Standard product,15.153,6.476,6.6,0.777,1.3,-,-
Solothurn,C3,2026,Standard product,27.666,10.8,13.143,0.923,2.3,0.076,114
Solothurn,C3,2020,Standard product,20.346,8.517,8.745,0.53,2.3,-,-
Ticino,C3,2017,Standard product,19.767,9.405,6.85,2,1.5,-,-
Ticino,C3,2023,Standard product,27.941,10.921,12,2.13,2.3,-,-
Neuchâtel,C3,2026,Standard product,26.903,9.992,14.09,1.6,1.15,0.0715,106.8
Vaud,C3,2014,Standard product,19.45,7.465,10.217,0.9,0.6,-,-
Schaffhausen,C3,2019,Standard product,17.12,8.852,5.968,0,2.3,-,-
Neuchâtel,C3,2012,Standard product,21.48,9.347,9.782,1.9,0.45,-,-
Grisons,C3,2012,Standard product,20.59,8.74,10.6,0.8,0.45,-,-
Uri,C3,2017,Standard product,17.001,9.172,5.389,0.94,1.5,-,-
Uri,C3,2016,Standard product,17.592,9.262,6.081,0.95,1.3,-,-
Grisons,C3,2014,Standard product,18.974,9.19,8.96,1,0.6,-,-
Nidwalden,C3,2024,Standard product,18.921,10.121,5.5,1,2.3,-,-
Lucerne,C3,2018,Standard product,17.411,8.191,6.1,0.819,2.3,-,-
Nidwalden,C3,2012,Standard product,14.497,6.077,7.051,0.92,0.45,-,-
Vaud,C3,2012,Standard product,20.34,8.232,10.557,0.9,0.45,-,-
Vaud,C3,2017,Standard product,17.695,7.405,7.69,0.95,1.5,-,-
Schaffhausen,C3,2021,Standard product,16.848,8.472,6.076,0,2.3,-,-
Schaffhausen,C3,2023,Standard product,21.789,10.329,9.16,0,2.3,-,-
Zug,C3,2013,Standard product,16.574,7.1,9.203,0.235,0.45,-,-
Grisons,C3,2020,Standard product,20.12,8.308,7.4,1,2.3,-,-
Grisons,C3,2015,Standard product,19.122,8.832,8.9,1,1.1,-,-
Lucerne,C3,2019,Standard product,16.629,7.84,5.706,0.784,2.3,-,-
Grisons,C3,2021,Standard product,19.901,9.108,7.4,1,2.3,-,-
Zurich,C3,2012,Standard product,15.122,6.3845,8.181,0.031,0.45,-,-
Grisons,C3,2022,Standard product,20.12,9.42,7.4,1,2.3,-,-
Aargau,C3,2011,Standard product,17.11,7.751,8.49,0.419,0.45,-,-
Zurich,C3,2023,Standard product,23.803,8.737,10.764,0.16,2.3,-,-
Neuchâtel,C3,2017,Standard product,19.081,8.031,7.65,1.56,1.5,-,-
Uri,C3,2025,Standard product,25.473,9.306,13.167,0.7,2.3,-,-
Grisons,C3,2013,Standard product,19.44,7.7775,9.862,1,0.45,-,-
Schaffhausen,C3,2012,Standard product,15.624,6.06,8.908,0,0.45,-,-
Grisons,C3,2019,Standard product,20.2,8.6,7.4,1,2.3,-,-
Ticino,C3,2022,Standard product,21.911,9.721,7.7,2.19,2.3,-,-
Valais,C3,2022,Standard product,18.189,7.018,8.235,0.78,2.3,-,-
Thurgau,C3,2020,Standard product,17.63,8.77,6.543666666666667,0.3,2.3,-,-
Solothurn,C3,2023,Standard product,27.534,9.257,15.462,0.8,2.3,-,-
Solothurn,C3,2024,Standard product,30.574,11.801,17.403,0.784,2.3,-,-
Obwalden,C3,2012,Standard product,18.081,7.501,8.93,1.2,0.45,-,-
Valais,C3,2017,Standard product,13.77,6.798,5.53,0.73,1.5,-,-
Ticino,C3,2018,Standard product,19.632,9.263,6.161,2.15,2.3,-,-
Valais,C3,2024,Standard product,31.607,10.132,18.446,0.92,2.3,-,-
Solothurn,C3,2017,Standard product,17.552,8.42,6.52,0.7,1.5,-,-
Valais,C3,2018,Standard product,15.496,6.218,5.834,0.68,2.3,-,-
Valais,C3,2011,Standard product,18.107,7.063,9.947,0.602,0.45,-,-
Thurgau,C3,2014,Standard product,16.977,8.88,7.211,0.245,0.6,-,-
Geneva,C3,2025,Standard product,24.879,10.175,11.092,1.312,2.3,-,-
Thurgau,C3,2016,Standard product,17.086,9.3725,6.101,0.26,1.3,-,-
Grisons,C3,2017,Standard product,19.048,9.197,8.1,1,1.5,-,-
Nidwalden,C3,2020,Standard product,16.351,6.151,6.9,1,2.3,-,-
Ticino,C3,2015,Standard product,20.113,9.512,7.542,1.96,1.1,-,-
Geneva,C3,2014,Standard product,17.99,6.846,9.475,1.069,0.6,-,-
Grisons,C3,2016,Standard product,19.098,9.085,8.3,1,1.3,-,-
Neuchâtel,C3,2020,Standard product,19.689,7.791,7.998,1.6,2.3,-,-
Lucerne,C3,2014,Standard product,17.763,8.421,7.9,0.842,0.6,-,-
Valais,C3,2020,Standard product,16.726,6.518,7.886,0.7,2.3,-,-
Ticino,C3,2013,Standard product,18.679,8.282,8.274,1.67,0.45,-,-
Ticino,C3,2021,Standard product,21.512,9.812,7.15,2.25,2.3,-,-
Ticino,C3,2016,Standard product,20.192,9.802,7.05,2.04,1.3,-,-
Valais,C3,2012,Standard product,17.349,6.703,9.609,0.628,0.45,-,-
Geneva,C3,2018,Standard product,19.935,7.756,8.777,1.102,2.3,-,-
Obwalden,C3,2017,Standard product,17.45,8.07,6.48,1.4,1.5,-,-
Neuchâtel,H8,2019,Standard product,20.859,8.996,7.828,1.5,2.3,-,-
Basel Stadt,H8,2015,Standard product,25.224,8.945,8.138,7.04,1.1,-,-
Basel Stadt,H8,2024,Standard product,33.976,13.283,10.892,7.501,2.3,-,-
Basel Stadt,H8,2013,Standard product,22.848,7.646,7.911,6.84,0.45,-,-
Neuchâtel,H8,2023,Standard product,32.005,11.625,15.907,1.6,2.3,-,-
Lucerne,H8,2014,Standard product,19.965,9.996,8.369,1,0.6,-,-
Basel Stadt,H8,2011,Standard product,23.109,8.308,7.911,6.44,0.45,-,-
Lucerne,H8,2013,Standard product,19.758,9.399,8.969,0.94,0.45,-,-
Basel Stadt,H8,2020,Standard product,27.648,9.947,7.938,7.462,2.3,-,-
Aargau,H8,2017,Standard product,16.226,8.472,5.77,0.5,1.5,-,-
Basel Stadt,H8,2018,Standard product,27.912,10.107,7.938,7.566,2.3,-,-
Appenzell Ausserrhoden,H8,2026,Standard product,26.944,9.74,13.968,0,2.3,0.936,70.2
Appenzell Ausserrhoden,H8,2017,Standard product,15.09,7.92,5.67,0,1.5,-,-
Appenzell Ausserrhoden,H8,2014,Standard product,15.33,7.71,7.02,0,0.6,-,-
Zug,H8,2024,Standard product,39.025,11.145,25.09,0.49,2.3,-,-
Thurgau,H8,2022,Standard product,19.85,9.536666666666667,7.663,0.3,2.3,-,-
Thurgau,H8,2011,Standard product,17.242,9.158,7.895,0.25,0.45,-,-
Appenzell Ausserrhoden,H8,2012,Standard product,16.3,8.32,7.53,0,0.45,-,-
Basel Landschaft,H8,2017,Standard product,20.429,8.652,9.63,0.647,1.5,-,-
Schaffhausen,H8,2012,Standard product,17.6065,8.6825,8.474,0,0.45,-,-
Basel Landschaft,H8,2012,Standard product,19.626,8.516,10.2,0.46,0.45,-,-
Schaffhausen,H8,2022,Standard product,18.597,9.255,7.042,0,2.3,-,-
Basel Stadt,H8,2023,Standard product,31.723,11.519,10.377,7.527,2.3,-,-
Neuchâtel,H8,2011,Standard product,22.55,11.017,10.061,1.56,0.45,-,-
Aargau,H8,2019,Standard product,18.061,8.266,6.668,0.5,2.3,-,-
Basel Stadt,H8,2017,Standard product,26.552,9.787,7.938,7.326,1.5,-,-
Neuchâtel,H8,2026,Standard product,27.899,10.349,13.606,1.6,1.15,0.96,72
Appenzell Ausserrhoden,H8,2015,Standard product,15.8,7.68,7.02,0,1.1,-,-
Schaffhausen,H8,2019,Standard product,19.726,10.555,6.871,0,2.3,-,-
Bern,H8,2011,Standard product,22.139,10.458,9.839,1.5,0.45,-,-
Nidwalden,H8,2024,Standard product,20.49,10.71,6.48,1,2.3,-,-
Bern,H8,2012,Standard product,20.919,9.13,9.839,1.5,0.45,-,-
Grisons,H8,2019,Standard product,20.108,9.325,7.4,1.14,2.3,-,-
Nidwalden,H8,2016,Standard product,18.266,8.794,7.172,1,1.3,-,-
Obwalden,H8,2021,Standard product,20.235,9.086,7.449,1.4,2.3,-,-
Valais,H8,2025,Standard product,27.37,9.93,14.392,0.94,2.3,-,-
Bern,H8,2024,Standard product,30.4,13.57,12.1,1.5,2.3,-,-
Jura,H8,2018,Standard product,26.145,11.934,10.411,1.5,2.3,-,-
Bern,H8,2016,Standard product,22.061,11.344,9.149,1.5,1.3,-,-
Zurich,H8,2012,Standard product,16.222,7.223,8.154,0.16,0.45,-,-
Appenzell Innerrhoden,H8,2026,Standard product,26.194,10.85,12.1,0,2.3,0.944,70.8
Valais,H8,2026,Standard product,24.926,8.59,13.268,0.91,2.3,1.056,79.2
Geneva,H8,2021,Standard product,19.437,7.92,8.172,1.045,2.3,-,-
St Gallen,H8,2018,Standard product,17.35,8.46,6.125,0.6,2.3,-,-
Basel Stadt,H8,2014,Standard product,24.135,8.415,8.138,6.982,0.6,-,-
Schaffhausen,H8,2014,Standard product,17.6435,8.9905,7.4825,0,0.6,-,-
Basel Stadt,H8,2012,Standard product,23.157,8.335,7.911,6.46,0.45,-,-
Basel Stadt,H8,2021,Standard product,27.648,9.947,7.938,7.462,2.3,-,-
Zug,H8,2013,Standard product,18.105,7.6,9.4695,0.235,0.45,-,-
Appenzell Ausserrhoden,H8,2013,Standard product,16.186,7.216,8.52,0,0.45,-,-
Zug,H8,2023,Standard product,36.207,14.394,19.023,0.49,2.3,-,-
Neuchâtel,H8,2021,Standard product,20.379,9.23,7.348,1.5,2.3,-,-
Schaffhausen,H8,2024,Standard product,29.082,14.422,12.36,0,2.3,-,-
Zug,H8,2014,Standard product,18.2335,8.814,8.5395,0.28,0.6,-,-
Schaffhausen,H8,2011,Standard product,17.61,9.0945,8.0065,0,0.45,-,-
Neuchâtel,H8,2015,Standard product,21.733,9.969,8.988,1.56,1.1,-,-
Basel Stadt,H8,2026,Standard product,32.77,11.415,10.892,7.443,2.3,0.72,54
Neuchâtel,H8,2012,Standard product,22.7255,10.187,10.707,1.9,0.45,-,-
Uri,H8,2021,Standard product,21.826,11.267,7.26,1,2.3,-,-
Uri,H8,2011,Standard product,21.565,11.73,8.395,0.99,0.45,-,-
Uri,H8,2014,Standard product,22.529,11.917,8.783,1.23,0.6,-,-
Schaffhausen,H8,2018,Standard product,19.471,10.846,6.326,0,2.3,-,-
Zug,H8,2026,Standard product,20.838,10.704,6.3,0.59,2.3,0.944,70.8
Lucerne,H8,2012,Standard product,20.891,9.611,9.869,0.961,0.45,-,-
Lucerne,H8,2015,Standard product,20.619,9.999,8.52,1,1.1,-,-
Uri,H8,2024,Standard product,31.081,13.133,14.649,1,2.3,-,-
Zug,H8,2019,Standard product,18.577,8.734,7.053,0.49,2.3,-,-
Lucerne,H8,2021,Standard product,17.618,7.595,6.964,0.759,2.3,-,-
Uri,H8,2012,Standard product,21.255,11.42,8.395,0.99,0.45,-,-
Uri,H8,2026,Standard product,23.288,9.529,9.499,1,2.3,0.96,72
Uri,H8,2016,Standard product,21.911,11.407,8.024,1.18,1.3,-,-
Lucerne,H8,2019,Standard product,20.231,8.387,8.705,0.839,2.3,-,-
Schaffhausen,H8,2013,Standard product,19.542,10.215,8.877,0,0.45,-,-
Lucerne,H8,2018,Standard product,22.97,9.999,9.672,1,2.3,-,-
Zug,H8,2022,Standard product,22.217,9.884,9.543,0.49,2.3,-,-
Uri,H8,2017,Standard product,21.305,11.037,7.629,1.14,1.5,-,-
Uri,H8,2025,Standard product,28.444,11.362,13.782,1,2.3,-,-
Lucerne,H8,2011,Standard product,21.514,9.471,10.646,0.947,0.45,-,-
Schaffhausen,H8,2015,Standard product,18.5915,9.46,7.399,0,1.1,-,-
Schaffhausen,H8,2017,Standard product,19.099,10.663,5.94,0,1.5,-,-
Uri,H8,2015,Standard product,22.819,11.817,8.683,1.22,1.1,-,-
Uri,H8,2022,Standard product,21.826,11.267,7.26,1,2.3,-,-
Lucerne,H8,2020,Standard product,13.558,7.595,2.903,0.759,2.3,-,-
Zug,H8,2015,Standard product,18.151,8.5715,8.155,0.325,1.1,-,-
Lucerne,H8,2024,Standard product,29.151,10.045,15.682,1.004,2.3,-,-
Zug,H8,2021,Standard product,21.027,9.524,8.713,0.49,2.3,-,-
Zug,H8,2017,Standard product,16.4715,7.874,6.7725,0.235,1.5,-,-
Basel Landschaft,H8,2016,Standard product,19.021,8.636,8.4,0.684,1.3,-,-
Aargau,H8,2023,Standard product,24.94,9.231,13.49,0.526,2.3,-,-
Zurich,H8,2011,Standard product,16.203,7.803,7.936,0,0.45,-,-
Schaffhausen,H8,2026,Standard product,31.482,15.48,12.63,0,2.3,1.072,80.4
Thurgau,H8,2025,Standard product,30.811,12.26,15.441,0.2,2.3,-,-
