OBJECTID;EGID;NO_AUTOR;CATEGORIE_BATPRO;NOMBAT;DESTINATION;NOMENCLATURE;NOMEN_CLASSE;NIVEAUX_HORSOL;NIVEAUX_SSOL;HAUTEUR;DATEDT;TYPE;GENRE;COMMUNE;SHAPE.AREA;SHAPE.LEN
1794;295525739;DD 316346;Bâtiment;;Autre bât. 20m2 et plus;5.1;Autre bâtiment;0;1;3.45;20211027104212;Nouveau;Sous-sol;Bardonnex;36.013351125;26.8302390109205
1795;295529469;DD 328603/1;Bâtiment;;Hab. deux logements;1.2.1;Habitation;2;0;5.92;20240703083125;Nouveau;Hors-sol;Lancy;116.6215454;45.4568172338009
1796;295526223;APA 318753/1;Bâtiment;;Autre bât. < 20 m2;5.3;Autre bâtiment;1;0;2.2;20220310093312;Nouveau;Hors-sol;Bellevue;8.55466428;11.7946130269578
1797;295529468;DD 328603/1;Bâtiment;;Hab plusieurs logements;1.3.1;Habitation;3;1;9.25;20240703083234;Nouveau;Hors-sol;Lancy;115.99275944;45.3390486049728
1798;295526225;DD 318589/1;Bâtiment spécial;;Restaurant;3.6.2;Activités;1;0;4.7;20220310143103;Nouveau;Hors-sol;Cologny;152.49919983;70.9999418177366
1799;295526227;DD 318534/1;Bâtiment;;Autre bât. d'activités;3.7.1;Activités;6;0;28;20220314113112;Nouveau;Hors-sol;Satigny;1958.460697525;177.476726427851
1800;295526228;DD 318534/1;Bâtiment;;Autre bât. d'activités;3.7.1;Activités;6;0;28;20220314113112;Nouveau;Hors-sol;Meyrin;1661.03995799;164.953745171012
1801;1015770;DD 335961;Bâtiment;;Habitation un logement;1.1.1;Habitation;3;1;9.36;20250102114905;Transformation;Hors-sol;Genève-Petit-Saconnex;129.21427965;55.0050797245278
1802;295527118;DD 335943;Bâtiment;;Habitation un logement;1.1.1;Habitation;2;0;6.8;20250102110649;Nouveau;Hors-sol;Cologny;357.632796885;89.3494151206313
1803;295527119;DD 335943;Bâtiment;;Autre bât. 20m2 et plus;5.1;Autre bâtiment;0;1;5.6;20250102110013;Nouveau;Sous-sol;Cologny;555.729452505;161.106522220209
1804;295105437;DD 112083;Bâtiment;;Garage;3.2.3;Activités;1;0;4;20181120102311;Transformation;Hors-sol;Genève-Petit-Saconnex;2819.465400205;287.116674760891
1805;295521194;DD 112083;Bâtiment;;Autre bât. 20m2 et plus;5.1;Autre bâtiment;1;0;3;20181120100254;Nouveau;Hors-sol;Genève-Petit-Saconnex;84.19952776;40.1204845157821
1806;295521211;DD 112103;Bâtiment;;Dépôt;3.5.1;Activités;1;0;6.39;20181123101247;Nouveau;Hors-sol;Satigny;311.10054532;71.2601760438501
1807;1007528;APA 302209;Bâtiment;;Habitation un logement;1.1.1;Habitation;2;1;5.9;20181126170317;Transformation;Hors-sol;Collonge-Bellerive;140.22665142;49.9009927214558
1808;295099772;DD 112441;Bâtiment;;Serre;3.1.1;Activités;1;0;7.9;20190326135756;Transformation;Hors-sol;Bernex;9132.126787175;382.258143613944
1987;295527653;DD 324590;Bâtiment;;Habitation un logement;1.1.1;Habitation;2;0;6.43;20230214101104;Nouveau;Hors-sol;Anières;158.83779362;51.8951051955021
1988;295527812;APA 325607/1;Bâtiment spécial;;Dépôt;3.5.1;Activités;1;0;2.59;20230330115405;Nouveau;Hors-sol;Pregny-Chambésy;14.7017834;16.9600558078159
1989;295098952;APA 324822;Bâtiment;;Garage privé;5.2;Autre bâtiment;1;0;4.7;20230214111912;Transformation;Hors-sol;Collonge-Bellerive;12.25076337;16.0827086589671
1990;295527817;APA 322837/2;Bâtiment;;Autre bât. 20m2 et plus;5.1;Autre bâtiment;0;1;3;20230330155824;Nouveau;Sous-sol;Collonge-Bellerive;95.104474875;42.0599301377305
1991;295527818;APA 322837/2;Bâtiment;;Autre bât. 20m2 et plus;5.1;Autre bâtiment;0;1;3;20230330155824;Nouveau;Sous-sol;Collonge-Bellerive;95.30322227;41.5801270879552
1992;295527819;APA 322837/2;Bâtiment;;Autre bât. 20m2 et plus;5.1;Autre bâtiment;0;1;3;20230330155824;Nouveau;Sous-sol;Collonge-Bellerive;82.72062131;44.2598499143032
1993;1000850;DD 327344;Bâtiment;;Habitation un logement;1.1.1;Habitation;4;1;13;20230705092022;Transformation;Hors-sol;Avusy;101.1839345;42.8639048083123
1994;295528617;DD 328858;Bâtiment;;Autre bât. d'activités;3.7.1;Activités;5;0;19.41;20231024100824;Nouveau;Hors-sol;Chêne-Bourg;1101.78551141;130.482168555323
1995;1007955;DD 324246;Bâtiment;;Habitation un logement;1.1.1;Habitation;2;0;8.46;20230213142456;Transformation;Hors-sol;Collonge-Bellerive;397.727561815;114.398598856407
1996;295528618;DD 328858;Bâtiment;;Autre bât. 20m2 et plus;5.1;Autre bâtiment;0;2;7.8;20231024101130;Nouveau;Sous-sol;Chêne-Bourg;1148.47582139;135.822533680501
1997;295526996;DD 322201/1;Bâtiment;;Hab plusieurs logements;1.3.1;Habitation;4;0;11.74;20220919143750;Nouveau;Hors-sol;Avully;547.565557575;110.277684914742
1998;295526997;DD 322201/1;Bâtiment;;Hab. - rez activités;2.1.1;Mixte: logements/activités ou équipement collectifs;4;0;12.25;20220919143750;Nouveau;Hors-sol;Avully;516.47560615;105.166565230325
1999;295526998;DD 322201/1;Bâtiment;;Hab plusieurs logements;1.3.1;Habitation;4;0;11.74;20220919143750;Nouveau;Hors-sol;Avully;871.36019214;156.395820454552
2000;295515214;DD 107995;Bâtiment;;Autre bât. 20m2 et plus;5.1;Autre bâtiment;0;1;3.5;20150615113436;Nouveau;Sous-sol;Genthod;620.70685918;135.435270821544
2001;295515708;DD 108252;Bâtiment;;Autre bât. 20m2 et plus;5.1;Autre bâtiment;1;0;2.54;20150922104928;Nouveau;Hors-sol;Genthod;30.133985;22.0728945250395
2002;295522661;APA 320029;Véranda;;Habitation un logement;1.1.1;Habitation;1;0;2.62;20220520150405;Transformation;Hors-sol;Collonge-Bellerive;17.914730485;18.7138386678022
2003;295517024;APA 45535;Bâtiment;;Garage privé;5.2;Autre bâtiment;1;0;2.5;20160713101725;Nouveau;Hors-sol;Genthod;23.09989261;20.5999170964288
2004;295525152;DD 313942;Bâtiment;;Autre bât. 20m2 et plus;5.1;Autre bâtiment;1;0;2.65;20210607120838;Nouveau;Hors-sol;Cologny;32.49924688;23.2200741009977
2005;295525153;APA 314126;Bâtiment;;Autre bât. < 20 m2;5.3;Autre bâtiment;1;0;2.5;20210607134823;Nouveau;Hors-sol;Chêne-Bougeries;14.292511915;16.1854261318086
2006;295529548;APA 333838/1;Bâtiment;;Autre bât. < 20 m2;5.3;Autre bâtiment;1;0;2.35;20240723103138;Nouveau;Hors-sol;Genève-Eaux-Vives;12.54002504;14.5000532359819
2007;295525157;DD 313741;Bâtiment;;Instal. tech. eau;4.10.2.2;Equipement collectif;0;1;6.8;20210607163138;Nouveau;Sous-sol;Anières;181.44001956;55.1999770328463
2008;295525159;APA 314123;Bâtiment;;Autre bât. 20m2 et plus;5.1;Autre bâtiment;0;1;2.8;20210607171113;Nouveau;Sous-sol;Vandoeuvres;843.5474564;124.279484532338
2009;295529549;APA 333838/1;Bâtiment;;Autre bât. < 20 m2;5.3;Autre bâtiment;1;0;2.35;20240723103138;Nouveau;Hors-sol;Genève-Eaux-Vives;10.33996694;13.500016866762
2010;295529547;APA 333804/1;Bâtiment;;Serre;3.1.1;Activités;1;0;3.48;20240723094517;Nouveau;Hors-sol;Vandoeuvres;24.50011631;21.6600388095621
2011;295079170;DD 313960;Bâtiment;;Habitation un logement;1.1.1;Habitation;2;1;10;20210609154250;Transformation;Hors-sol;Vandoeuvres;299.056214915;84.3266947248773
2012;295525171;APA 314187/1;Bâtiment;;Autre bât. < 20 m2;5.3;Autre bâtiment;1;0;2.5;20210610120237;Nouveau;Hors-sol;Veyrier;7.5287614;11.0801858053279
2013;3131295;DD 313916/1;Bâtiment;;Habitation un logement;1.1.1;Habitation;2;1;7.48;20210610155006;Transformation;Hors-sol;Aire-la-Ville;67.09960165;35.6856356896668
2014;295529550;APA 333838/1;Bâtiment;;Autre bât. < 20 m2;5.3;Autre bâtiment;1;0;2.35;20240723103138;Nouveau;Hors-sol;Genève-Eaux-Vives;14.7400593;15.500036801187
2015;295525554;DD 315842;Bâtiment;;Hab plusieurs logements;1.3.1;Habitation;3;0;9.5;20210920104433;Nouveau;Hors-sol;Bardonnex;57.74908129;32.4998265355994
2016;295525553;DD 315842;Bâtiment;;Hab plusieurs logements;1.3.1;Habitation;2;0;6.55;20210920104449;Nouveau;Hors-sol;Bardonnex;69.7389004;34.6797783239535
2017;295525555;DD 315842;Bâtiment;;Hab plusieurs logements;1.3.1;Habitation;2;0;6.55;20210920105819;Nouveau;Hors-sol;Bardonnex;69.63085698;34.6602289168064
2018;295525556;DD 315842;Bâtiment;;Hab plusieurs logements;1.3.1;Habitation;2;0;6.55;20210920105833;Nouveau;Hors-sol;Bardonnex;69.630803085;34.660180655696
2019;295525552;DD 315842;Bâtiment;;Hab plusieurs logements;1.3.1;Habitation;3;0;9.5;20210920110008;Nouveau;Hors-sol;Bardonnex;57.75030072;32.4999989963115
2020;295525557;DD 315842;Bâtiment;;Hab plusieurs logements;1.3.1;Habitation;3;0;9.5;20210920110016;Nouveau;Hors-sol;Bardonnex;57.75007408;32.4999598788909
2021;295525558;DD 315842;Bâtiment;;Hab plusieurs logements;1.3.1;Habitation;3;0;9.5;20210920110113;Nouveau;Hors-sol;Bardonnex;57.749217025;32.4997794228259
2022;295525559;DD 315842;Bâtiment;;Autre bât. 20m2 et plus;5.1;Autre bâtiment;0;1;3.18;20210920110235;Nouveau;Sous-sol;Bardonnex;209.00029293;60.0000247086208
2023;295100910;APA 315839;Bâtiment;;Garage privé;5.2;Autre bâtiment;1;0;3.5;20210920;Transformation;Hors-sol;Collonge-Bellerive;49.808684075;33.8578732588899
2024;295525570;APA 315960;Bâtiment;;Autre bât. < 20 m2;5.3;Autre bâtiment;1;0;2.59;20210930084135;Nouveau;Hors-sol;Genthod;27.92074838;22.2766196116334
