EGID;VOLUME;SURFACE_TOTALE;SURFACE_PARTAGE;SURFACE_TOTALE_HS;DATE_LEVE;OBJECTID
295521331;548.012;213;85.63;207.349;20230301;80823
295523691;509.437;280;0;273.741;20230301;80824
295132369;287.45;150;90.23;129.848;20230301;80825
295520481;491.504;234;0;232.151;20230301;80826
295528343;37.779;38;0;37.723;20230301;80827
1003383;2070.618;531;121.63;469.645;20230301;80828
1023118;1112.592;355;57.19;339.398;20230301;80829
1003597;1883.138;550;0;530.467;20230301;80982
295527353;34.43;30;0;29.873;20230301;80983
1011882;10128.564;1990;414.6;1901.163;20230301;80984
295517683;840.116;380;10.44;359.962;20230301;80985
1004370;682.825;200;0;194.966;20230301;80986
1031366;13893.266;2653;26.49;2382.681;20230301;80987
295521721;4204.413;1111;0;1098.274;20230301;80988
295518886;17.178;27;0;26.228;20230301;80989
295168120;525.341;259;0;252.763;20230301;78941
295080685;1027.229;293;102.54;234.925;20230301;78942
295088501;142.55;76;0;75.076;20230301;78943
295524453;31.856;34;0;33.508;20230301;78944
295524293;603.702;211;60.65;190.911;20230301;78945
295520192;3669.453;1054;0;1037.813;20230301;78946
2041225;36263.577;4289;0;3946.238;20230301;78947
295517835;1749.48;511;0;396.59;20230301;78948
1002393;1525.646;361;0;245.342;20230301;78949
295093979;107.674;203;39.78;198.73;20230301;78950
1022158;655.448;223;0;220.097;20230301;79093
295524033;26.137;46;0;36.596;20230301;79094
295522909;417.706;211;64.64;209.686;20230301;79095
1010015;859.915;342;125.11;320.349;20230301;79096
295070668;64.531;58;23.09;56.173;20230301;79097
295087790;106.824;66;0;63.862;20230301;79098
295526184;565.77;213;35.9;163.901;20230301;79099
295511096;3371.291;928;381.27;901.66;20230301;79100
295081580;40.697;38;0;36.116;20230301;79101
2041499;568.05;205;9.41;203.569;20230301;79102
295087950;47.416;42;10.17;38.349;20230301;79245
295526987;104.351;80;3.06;71.864;20230301;79246
2043275;758.888;252;84.29;250.941;20230301;79247
295521990;497.295;227;71.75;222.404;20230301;79248
295098030;86.227;59;11.2;55.116;20230301;79249
1009256;871.22;303;72.4;269.119;20230301;79250
295087036;18.758;33;0;20.009;20230301;79251
295528520;85.402;62;0;56.871;20230301;79252
295512804;8306.036;1833;0;940.828;20230301;79253
1009281;640.315;302;207.49;263.19;20230301;79254
295524452;138.503;84;0;83.4;20230301;79255
1014542;2163.206;619;173.4;545.694;20230301;79394
295092476;106.642;137;0;129.823;20230301;79395
295527223;29.643;31;0;30.038;20230301;79396
295076125;86.581;68;11.99;63.602;20230301;79397
295093476;389.055;201;69.03;195.778;20230301;79398
295523692;596.183;277;28.15;272.201;20230301;79399
295073763;55.092;50;0;48.048;20230301;79400
295523581;3133.737;662;0;623.078;20230301;79401
1029097;978.507;328;29.47;274.122;20230301;79402
1028256;821.505;318;0;277.596;20230301;79403
295075132;284.461;121;0;117.412;20230301;79560
1022684;3297.316;863;141.5;856.769;20230301;79561
295518572;471.729;207;52.72;205.848;20230301;79562
295524337;29.032;34;0;26.283;20230301;79563
2034948;1999.106;514;0;473.992;20230301;79564
295515595;430.953;215;69.62;213.551;20230301;79565
295524582;255.151;119;0;113.182;20230301;79566
1004502;1648.27;441;0;436.121;20230301;79567
295522870;91.691;69;18.26;67.199;20230301;79568
295511707;694.897;206;0;164.541;20230301;79569
1026909;798.903;263;0;248.573;20230301;79570
295518420;4008.12;962;0;937.502;20230301;79695
1027539;844.597;281;0;275.31;20230301;79696
3131691;28392.635;4709;216.27;4651.441;20230301;79697
1023929;685.679;240;39.72;183.779;20230301;79698
295078058;215.258;124;32.85;119.218;20230301;79699
295528714;115.961;126;0;119.62;20230301;79700
295512464;594.096;211;0;208.777;20230301;79701
295526981;27.01;29;0;26.795;20230301;79814
295522905;511.281;256;20.73;255.129;20230301;79815
295092943;107.653;73;51.68;72.893;20230301;79816
295526209;104.757;62;0;59.412;20230301;79817
295516542;23244.812;3510;0;3333.074;20230301;79818
295518309;1396.61;539;174.57;506.712;20230301;79819
1002982;3908.761;1053;83.15;1042.131;20230301;79820
295514388;583.989;317;30.95;276.489;20230301;79821
295113288;4906.122;1299;0;1272.509;20230301;79822
295518396;590.185;235;73.61;233.397;20230301;79823
295517682;830.985;370;11.83;351.197;20230301;79824
295089534;47.842;39;13.09;36.893;20230301;79825
295518316;820.891;405;236.68;332.859;20230301;79826
1003217;8446.36;1462;0;1426.295;20230301;81177
295522904;518.327;259;19.56;256.559;20230301;81178
295514847;939.476;308;86.87;287.776;20230301;81179
295075619;40.363;41;0;34.283;20230301;81180
1020088;1641.158;529;0;491.774;20230301;81181
295096771;1762.778;429;184.01;421.679;20230301;81182
295519703;573.144;245;49.26;240.244;20230301;81183
295101525;609.216;263;146.59;248.071;20230301;81184
295514463;664.328;253;43.84;249.529;20230301;81185
1019572;919.076;267;0;186.959;20230301;81186
295521203;4031.691;966;0;738.895;20230301;79944
295090762;60.91;48;0;47.093;20230301;79945
295524124;46.832;53;0;50.214;20230301;79946
1011933;14058.812;3004;480.5;2886.278;20230301;79947
295161639;13.45;17;0;16.818;20230301;79948
1004679;802.035;208;0;199.811;20230301;80089
295520567;1595.172;486;16.83;480.942;20230301;80090
295527044;35.754;42;0;35.453;20230301;80091
295522822;545.119;302;86.8;296.877;20230301;80092
295525511;34.728;40;0;38.071;20230301;80093
